"airplaneID","AirlineID","airplaneType"
11202,"4Q","319"
11203,"4Q","319"
11204,"4Q","320"
11205,"4Q","319"
11206,"4Q","319 320"
11207,"4Q","319"
11208,"4Q","319"
11209,"4Q","319"
11210,"4T","320"
11211,"4T","320"
11212,"4T","320"
11213,"4T","320"
11214,"4T","320"
11215,"4T","320"
11216,"4T","320"
11217,"4T","320"
11218,"4T","320"
11219,"4T","320"
11220,"4T","320"
11221,"4T","320"
11222,"4U","320 319"
11223,"4U","319"
11224,"4U","319"
11225,"4U","CRJ"
11226,"4U","CRJ"
11227,"4U","CRJ"
11228,"4U","CRJ"
11229,"4U","CRJ"
11230,"4U","CRJ"
11231,"4U","319"
11232,"4U","319"
11233,"4U","320"
11234,"4U","320 319"
11235,"4U","320 319"
11236,"4U","319"
11237,"4U","319"
11238,"4U","319 320"
11239,"4U","319"
11240,"4U","319"
11241,"4U","CRJ"
11242,"4U","CRJ"
11243,"4U","319"
11244,"4U","319"
11245,"4U","320"
11246,"4U","CRJ"
11247,"4U","319"
11248,"4U","320"
11249,"4U","CRJ"
11250,"4U","CRJ 319"
11251,"4U","319"
11252,"4U","319"
11253,"4U","319 CRJ"
11254,"4U","319"
11255,"4U","CRJ"
11256,"4U","319"
11257,"4U","319 CRJ"
11258,"4U","CRJ"
